film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,year
1485,522,48300000,323,2,7,47.92,149535.6037151703,321,674.0400667779633,2018-01-04,4,2,1,2018
1485,73,87240000,727,0,5,70.24,120000.0,727,1035.0227790432805,2018-01-04,4,2,1,2018
1483,35,48400000,484,0,3,96.61,100000.0,484,500.98333505848257,2018-01-04,4,2,1,2018
1483,380,48140000,527,0,5,28.78,91347.24857685008,527,1831.1327310632385,2018-01-04,4,2,1,2018
1485,163,55470000,438,0,7,31.44,126643.83561643836,438,1393.1297709923665,2018-01-04,4,2,1,2018
1485,52,36400000,364,0,7,9.2,100000.0,364,3956.521739130435,2018-01-04,4,2,1,2018
1485,72,141480000,1194,0,13,70.56,118492.4623115578,1194,1692.1768707482993,2018-01-04,4,2,1,2018
1485,485,48150000,321,0,4,78.68,150000.0,321,407.9816980172852,2018-01-04,4,2,1,2018
1485,39,33600000,350,0,3,67.83,96000.0,350,515.9958720330237,2018-01-04,4,2,1,2018
1485,51,33150000,337,0,4,14.5,98367.9525222552,337,2324.137931034483,2018-01-04,4,2,1,2018
1485,455,31440000,393,11,3,37.43,80000.0,382,1049.959925193695,2018-01-04,4,2,1,2018
1485,518,43800000,456,0,8,41.72,96052.63157894736,456,1093.000958772771,2018-01-04,4,2,1,2018
1485,34,28080000,236,0,3,71.52,118983.05084745762,236,329.9776286353468,2018-01-04,4,2,1,2018
1485,442,25840000,330,2,2,84.62,78303.0303030303,328,389.9787284329945,2018-01-04,4,2,1,2018
1485,489,156980000,1088,0,32,56.36,144283.08823529413,1088,1930.447125621008,2018-01-04,4,2,1,2018
1485,262,24500000,245,0,3,50.72,100000.0,245,483.0441640378549,2018-01-04,4,2,1,2018
1485,89,22320000,186,0,3,50.0,120000.0,186,372.0,2018-01-04,4,2,1,2018
1485,316,22100000,442,0,10,58.93,50000.0,442,750.0424232139827,2018-01-04,4,2,1,2018
1485,43,20000000,250,0,6,16.03,80000.0,250,1559.5757953836555,2018-01-04,4,2,1,2018
1485,187,26400000,330,0,7,31.64,80000.0,330,1042.9835651074588,2018-01-04,4,2,1,2018
1483,390,48600000,621,0,9,88.94,78260.86956521739,621,698.2235214751518,2018-01-04,4,2,1,2018
1485,431,44160000,368,0,10,44.86,120000.0,368,820.3299152920197,2018-01-04,4,2,1,2018
1485,474,23500000,246,0,2,58.29,95528.45528455284,246,422.0277920741122,2018-01-04,4,2,1,2018
1485,380,17200000,182,0,4,12.58,94505.4945054945,182,1446.7408585055643,2018-01-04,4,2,1,2018
1486,452,25050000,167,0,3,79.52,150000.0,167,210.01006036217308,2018-01-04,4,2,1,2018
1486,431,23400000,195,0,8,38.91,120000.0,195,501.15651503469553,2018-01-04,4,2,1,2018
1485,120,14500000,145,0,6,6.46,100000.0,145,2244.5820433436534,2018-01-04,4,2,1,2018
1485,456,14240000,178,0,2,84.1,80000.0,178,211.65279429250893,2018-01-04,4,2,1,2018
1485,463,10260000,171,0,1,55.16,60000.0,171,310.0072516316172,2018-01-04,4,2,1,2018
1485,414,13790000,197,0,3,45.6,70000.0,197,432.0175438596492,2018-01-04,4,2,1,2018
1485,528,13560000,115,0,4,59.9,117913.04347826086,115,191.9866444073456,2018-01-04,4,2,1,2018
1485,57,12800000,128,0,4,15.38,100000.0,128,832.2496749024706,2018-01-04,4,2,1,2018
1485,243,14700000,245,0,6,21.84,60000.0,245,1121.7948717948718,2018-01-04,4,2,1,2018
1485,247,12360000,171,0,3,21.59,72280.70175438597,171,792.0333487725799,2018-01-04,4,2,1,2018
1485,194,11150000,223,0,3,13.13,50000.0,223,1698.4006092916982,2018-01-04,4,2,1,2018
1485,499,10500000,105,0,3,15.42,100000.0,105,680.9338521400778,2018-01-04,4,2,1,2018
1485,115,13600000,136,0,2,23.53,100000.0,136,577.9855503612409,2018-01-04,4,2,1,2018
1485,155,18280000,248,0,3,86.11,73709.67741935483,248,288.00371617698295,2018-01-04,4,2,1,2018
1485,276,5580000,93,0,6,3.88,60000.0,93,2396.907216494845,2018-01-04,4,2,1,2018
1485,495,3600000,60,0,1,21.05,60000.0,60,285.0356294536817,2018-01-04,4,2,1,2018
1485,238,12000000,200,0,3,27.55,60000.0,200,725.9528130671506,2018-01-04,4,2,1,2018
1485,511,700000,14,0,1,4.67,50000.0,14,299.78586723768734,2018-01-04,4,2,1,2018
1485,430,16200000,165,0,3,61.11,98181.81818181818,165,270.0049091801669,2018-01-04,4,2,1,2018
1485,154,17150000,245,0,10,8.17,70000.0,245,2998.7760097919218,2018-01-04,4,2,1,2018
1485,479,9040000,113,0,2,33.43,80000.0,113,338.01974274603646,2018-01-04,4,2,1,2018
1485,516,8960000,112,3,2,47.86,80000.0,109,234.01587964897612,2018-01-04,4,2,1,2018
1485,55,9520000,523,0,7,27.67,18202.676864244742,523,1890.1337188290563,2018-01-04,4,2,1,2018
1485,529,8760000,73,0,2,77.66,120000.0,73,93.99948493432912,2018-01-04,4,2,1,2018
1485,169,8350000,92,0,6,14.81,90760.8695652174,92,621.2018906144497,2018-01-04,4,2,1,2018
1485,415,8120000,116,0,2,17.26,70000.0,116,672.0741599073,2018-01-04,4,2,1,2018
1485,88,16900000,169,0,5,5.6,100000.0,169,3017.857142857143,2018-01-04,4,2,1,2018
1485,428,8050000,115,0,2,38.33,70000.0,115,300.02608922515003,2018-01-04,4,2,1,2018
1485,186,7120000,89,0,1,17.59,80000.0,89,505.9693007390563,2018-01-04,4,2,1,2018
1485,156,6960000,87,0,4,5.01,80000.0,87,1736.5269461077844,2018-01-04,4,2,1,2018
1485,164,8680000,124,0,6,21.79,70000.0,124,569.0683799908215,2018-01-04,4,2,1,2018
1483,98,21200000,212,0,6,8.03,100000.0,212,2640.0996264009964,2018-01-04,4,2,1,2018
1485,152,9560000,246,0,3,36.61,38861.78861788618,246,671.9475553127561,2018-01-04,4,2,1,2018
1485,181,10350000,107,0,3,16.74,96728.97196261682,107,639.1875746714458,2018-01-04,4,2,1,2018
1485,222,7600000,95,0,6,4.73,80000.0,95,2008.4566596194504,2018-01-04,4,2,1,2018
1485,142,9200000,92,0,4,56.1,100000.0,92,163.99286987522282,2018-01-04,4,2,1,2018
1485,299,510000,11,0,2,1.18,46363.63636363636,11,932.2033898305084,2018-01-04,4,2,1,2018
1486,359,500000,10,0,2,2.38,50000.0,10,420.1680672268908,2018-01-04,4,2,1,2018
1485,292,2760000,46,0,2,12.64,60000.0,46,363.92405063291136,2018-01-04,4,2,1,2018
1485,427,2640000,23,0,2,11.86,114782.60869565218,23,193.92917369308603,2018-01-04,4,2,1,2018
1485,501,1230000,25,0,2,6.22,49200.0,25,401.9292604501608,2018-01-04,4,2,1,2018
1485,273,2500000,50,0,2,6.76,50000.0,50,739.6449704142012,2018-01-04,4,2,1,2018
1485,168,2300000,23,0,3,9.83,100000.0,23,233.9776195320448,2018-01-04,4,2,1,2018
1485,338,2160000,28,0,2,6.1,77142.85714285714,28,459.01639344262304,2018-01-04,4,2,1,2018
1485,525,2800000,35,0,2,10.74,80000.0,35,325.8845437616387,2018-01-04,4,2,1,2018
1485,368,2150000,43,0,2,5.81,50000.0,43,740.1032702237522,2018-01-04,4,2,1,2018
1485,503,1920000,24,0,3,20.87,80000.0,24,114.9976042165788,2018-01-04,4,2,1,2018
1485,253,1750000,25,0,3,8.77,70000.0,25,285.06271379703537,2018-01-04,4,2,1,2018
1485,162,2400000,40,0,4,8.7,60000.0,40,459.7701149425288,2018-01-04,4,2,1,2018
1484,448,483369000,3269,0,16,92.92,147864.4845518507,3269,3518.080068876453,2018-01-04,4,2,1,2018
1485,237,5640000,94,0,3,9.22,60000.0,94,1019.522776572668,2018-01-04,4,2,1,2018
1483,245,21300000,355,0,3,36.98,60000.0,355,959.9783666846944,2018-01-04,4,2,1,2018
1485,460,2000000,40,0,2,5.0,50000.0,40,800.0,2018-01-04,4,2,1,2018
