film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,month,quarter,day,year
1484,50,77280000,654,0,6,33.75,118165.1376146789,654,1937.7777777777776,4,2,1,2018
1484,51,85000000,858,0,14,22.57,99067.59906759906,858,3801.506424457244,4,2,1,2018
1484,450,98700000,672,0,4,95.86,146875.0,672,701.022324222825,4,2,1,2018
1484,250,99040000,1238,0,10,26.2,80000.0,1238,4725.1908396946565,4,2,1,2018
1484,524,106050000,708,8,11,66.92,149788.13559322033,700,1057.979677226539,4,2,1,2018
1484,89,75540000,578,0,5,83.53,130692.04152249134,578,691.9669579791691,4,2,1,2018
1484,141,106050000,713,0,7,74.35,148737.72791023843,713,958.9778076664423,4,2,1,2018
1484,352,120450000,803,0,5,82.36,150000.0,803,974.9878581835842,4,2,1,2018
1484,163,121790000,900,0,6,86.87,135322.22222222222,900,1036.030850696443,4,2,1,2018
1484,48,123300000,1238,0,14,34.21,99596.12277867529,1238,3618.824904998538,4,2,1,2018
1484,186,131120000,1639,0,6,53.99,80000.0,1639,3035.747360622337,4,2,1,2018
1484,489,174690000,1200,0,16,55.58,145575.0,1200,2159.050017992083,4,2,1,2018
1484,344,177600000,1201,0,7,64.26,147876.7693588676,1201,1868.969810146281,4,2,1,2018
1484,183,112800000,1410,0,7,44.76,80000.0,1410,3150.134048257373,4,2,1,2018
1484,528,15240000,193,6,3,24.03,78963.73056994818,187,803.1627132750727,4,2,1,2018
1484,518,73020000,725,5,12,48.72,100717.24137931036,720,1488.095238095238,4,2,1,2018
1484,185,66400000,830,0,10,22.31,80000.0,830,3720.304796055581,4,2,1,2018
1484,417,40430000,419,0,3,57.71,96491.64677804297,419,726.0440131692948,4,2,1,2018
1484,475,40740000,582,0,6,66.9,70000.0,582,869.9551569506726,4,2,1,2018
1484,259,42240000,528,0,3,55.35,80000.0,528,953.9295392953928,4,2,1,2018
1484,522,46800000,312,0,6,58.54,150000.0,312,532.9689101469081,4,2,1,2018
1484,198,47740000,682,0,6,60.78,70000.0,682,1122.0796314577162,4,2,1,2018
1484,34,49680000,414,0,5,75.27,120000.0,414,550.0199282582703,4,2,1,2018
1484,182,67360000,842,0,3,58.55,80000.0,842,1438.0871050384287,4,2,1,2018
1484,73,50400000,431,0,4,86.03,116937.35498839908,431,500.9880274322911,4,2,1,2018
1484,35,53300000,539,0,4,81.67,98886.82745825604,539,659.9730623239868,4,2,1,2018
1484,172,53400000,534,0,3,80.91,100000.0,534,659.9925843529849,4,2,1,2018
1484,262,53800000,538,0,4,84.59,100000.0,538,636.0089845135359,4,2,1,2018
1484,52,56900000,569,0,6,22.21,100000.0,569,2561.9090499774875,4,2,1,2018
1484,513,63850000,641,0,4,64.68,99609.98439937596,641,991.0327767470624,4,2,1,2018
1484,396,64900000,649,0,3,69.78,100000.0,649,930.0659214674693,4,2,1,2018
1484,485,52500000,352,0,4,66.29,149147.72727272726,352,531.0001508523155,4,2,1,2018
1484,430,15200000,156,0,2,75.73,97435.89743589744,156,205.99498217351115,4,2,1,2018
1484,516,14960000,187,0,2,79.91,80000.0,187,234.01326492303843,4,2,1,2018
1484,57,14500000,145,0,3,23.24,100000.0,145,623.9242685025819,4,2,1,2018
1481,201,3850000,55,0,2,11.98,70000.0,55,459.0984974958264,4,2,1,2018
1481,64,3500000,35,0,5,2.19,100000.0,35,1598.1735159817354,4,2,1,2018
1481,277,3360000,42,0,2,5.75,80000.0,42,730.4347826086956,4,2,1,2018
1481,427,3240000,27,0,1,28.13,120000.0,27,95.98293636686812,4,2,1,2018
1481,221,3040000,38,0,1,7.58,80000.0,38,501.3192612137203,4,2,1,2018
