date,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,film_code,cinema_code,month,quarter,day,year
2018-08-09,3489375000,38805,182,2375,11.087851622874807,85674.36308505836,38623,796.6330778492476,1564,204,9,3,8,2018
2018-08-10,3599469998,32834,67,2429,8.951514143094842,93383.37064560998,32767,883.1346432116115,1553,198,10,4,8,2018
2018-09-04,6716628994,71285,84,2464,16.91127551020408,87160.75358785075,71201,935.3682339693787,1486,201,4,2,9,2018
2018-09-05,6954719992,77535,390,2707,18.6121045751634,85813.88971725226,77145,775.751087525066,1497,206,5,2,9,2018
2018-09-06,2320559997,31174,78,2389,8.874851330203443,68471.01606534132,31096,831.03264050807,1494,195,6,2,9,2018
2018-09-07,13120000,239,0,7,17.544285714285714,51964.28571428572,239,224.93847813846745,1499,4,7,3,9,2018
2018-09-08,11818754985,106047,196,2658,20.634673046251994,93560.90531462466,105851,892.9478195564993,1499,210,8,3,9,2018
2018-09-09,3738929991,37730,53,2360,10.218198757763975,90629.14040458162,37677,802.7311717318661,1559,207,9,3,9,2018
2018-09-10,10796664997,184158,204,2790,35.61387234042553,51616.80554027363,183954,845.0117286936373,1554,216,10,4,9,2018
2018-10-04,15158929992,293629,172,2735,55.01165032679738,48990.766967837124,293457,980.0459346749601,1486,202,4,2,10,2018
2018-10-05,12111469981,117735,157,2739,25.576149870801032,89114.52739613823,117578,775.4442400926888,1483,208,5,2,10,2018
2018-10-06,2249234999,29657,37,2351,8.68911858974359,69419.30423725733,29620,837.7092493412566,1484,194,6,2,10,2018
2018-10-07,10786194995,192812,175,2734,34.34216735253772,50182.45655773905,192637,798.927291543605,1494,206,7,3,10,2018
2018-10-08,14990894987,136444,199,2726,23.802439024390242,92406.25229892715,136245,873.663539971485,1560,214,8,3,10,2018
2018-10-09,3160090000,30906,57,2350,8.985857142857142,92312.88420318966,30849,806.2907753579451,1556,202,9,3,10,2018
2018-10-10,7495044991,67387,212,2635,15.108943338437978,92265.03191993022,67175,869.1350219514993,1556,208,10,4,10,2018
2018-11-04,10351803980,114874,147,2570,25.95611295681063,83757.7213252757,114727,951.4920537393417,1482,198,4,2,11,2018
2018-11-05,13925444994,133681,215,2729,28.412917737789204,89724.8613335617,133466,754.4338046411503,1482,205,5,2,11,2018
2018-11-06,2184359996,29135,47,2365,8.364968152866242,70182.09086093093,29088,841.982572033778,1493,199,6,2,11,2018
2018-11-07,6959104995,66224,89,2511,11.863020030816642,88316.83378130113,66135,830.2519894010238,1511,202,7,3,11,2018
2018-11-08,5547079992,60608,159,2410,14.39493006993007,85018.88467783612,60449,911.3643791290792,1554,196,8,3,11,2018
2018-11-09,5158534999,86097,149,2448,22.429183006535947,52856.26443402496,85948,859.2191087254967,1558,197,9,3,11,2018
2018-11-10,14212267993,124637,392,2807,24.905840336134453,93318.31352131268,124245,834.8605588693956,1576,214,10,4,11,2018
2018-12-04,15580092969,158954,218,2444,37.413126022913254,87209.58189396719,158736,897.2575234333585,1482,203,4,2,12,2018
2018-12-05,5071305000,60608,210,2625,15.361599462365593,79935.02184499895,60398,772.8751686722062,1482,204,5,2,12,2018
2018-12-06,4986375000,89109,113,2510,22.479898550724638,51115.54006216611,88996,811.2334127757109,1495,203,6,2,12,2018
2018-12-07,12008334977,107183,109,2649,17.926618497109825,89869.8284009941,107074,818.4524660923714,1499,209,7,3,12,2018
2018-12-08,5057709998,49482,149,2143,14.02945299145299,90553.28783546199,49333,802.0362567532123,1498,202,8,3,12,2018
2018-12-09,2712975000,46777,76,2263,15.175008976660681,52525.57646381546,46701,889.4308394615894,1563,197,9,3,12,2018
2018-12-10,16759698993,146927,296,2760,28.77510729613734,94264.79849343438,146631,832.1112634456005,1573,214,10,4,12,2018
